Bekend_met_Great_Outdoors,Leeftijd,Frequentie_Streetwear,Aankoopmethode,Criteria_Streetwear,Uitgaven_Streetwear,Type_Kledingstuk,Bron_Trends,Waarschijnlijkheid_Gebruik,Suggesties_Verbetering,Recente_Aankoop,Type_Gekocht_Product
Ja,21-30 jaar,Altijd,"In een fysieke winkel, Via sociale media","Stijl, Duurzaamheid, Prijs",€100 +,Hoodies,"Televisiereclame, Webadvertenties",Waarschijnlijk,"Betere marketing op sociale media, Meer moderne ontwerpen","Ja, vanwege het merk","Accessoires, Casual kleding"
Nee,31-40 jaar,Altijd,Via een website,"Stijl, Comfort, Duurzaamheid",€0-25,Accessoires,"Reclamefolders, Vrienden en familie",Zeer onwaarschijnlijk,"Meer duurzame materialen, Betere marketing op sociale media","Ja, vanwege de kwaliteit","Casual kleding, Accessoires"
Ja,31-40 jaar,Vaak,"Via sociale media, In een fysieke winkel","Merk, Prijs",€51-100,Broeken,"Reclamefolders, Sociale Media",Waarschijnlijk,"Betere prijsstelling, Meer samenwerkingen met bekende merken/ontwerpers","Ja, vanwege de duurzaamheid","Geen aankoop gedaan, Schoeisel"
Nee,21-30 jaar,Nooit,"Via een website, In een fysieke winkel","Duurzaamheid, Comfort",€26-50,Schoenen,"Webadvertenties, Vrienden en familie",Neutraal,"Meer moderne ontwerpen, Betere prijsstelling","Ja, vanwege de kwaliteit","Buitenkleding, Casual kleding"
Ja,21-30 jaar,Vaak,"Via een website, Via sociale media","Stijl, Duurzaamheid, Prijs",€51-100,Hoodies,"Sociale Media, Modeblogs en websites",Waarschijnlijk,"Meer moderne ontwerpen, Betere marketing op sociale media","Ja, vanwege het merk","Casual kleding, Accessoires"
Nee,21-30 jaar,Regelmatig,"Via een website, In een fysieke winkel","Merk, Duurzaamheid, Comfort",€0-25,Jassen,"Webadvertenties, Sociale Media",Zeer waarschijnlijk,"Meer moderne ontwerpen, Meer samenwerkingen met bekende merken/ontwerpers","Ja, vanwege de prijs","Schoeisel, Casual kleding"
Ja,0-20 jaar,Af en toe,"Via een website, Via sociale media","Stijl, Merk, Prijs",€26-50,Broeken,"Sociale Media, Vrienden en familie",Neutraal,"Meer duurzame materialen, Meer merk kleding","Ja, vanwege de duurzaamheid","Casual kleding, Buitenkleding"
Nee,21-30 jaar,Regelmatig,"In een fysieke winkel, Via een website","Duurzaamheid, Merk, Comfort",€100 +,Jassen,"Webadvertenties, Televisiereclame",Waarschijnlijk,"Meer samenwerkingen met bekende merken/ontwerpers, Betere marketing op sociale media","Ja, vanwege het design","Schoeisel, Casual kleding"
Ja,21-30 jaar,Af en toe,"In een fysieke winkel, Via sociale media","Stijl, Prijs",€51-100,Petten,"Modeblogs en websites, Sociale Media",Waarschijnlijk,"Betere prijsstelling, Meer duurzame materialen","Ja, vanwege de kwaliteit","Schoeisel, Visspullen, Casual kleding"
Ja,0-20 jaar,Altijd,Via een website,"Stijl, Comfort",€26-50,Hoodies,"Televisiereclame, Vrienden en familie",Zeer waarschijnlijk,"Meer moderne ontwerpen, Meer samenwerkingen met bekende merken/ontwerpers","Ja, vanwege de kwaliteit","Casual kleding, Accessoires"
Ja,31-40 jaar,Af en toe,"Via sociale media, Via een website","Comfort, Prijs, Duurzaamheid",€51-100,Broeken,"Sociale Media, Webadvertenties",Zeer waarschijnlijk,"Meer duurzame materialen, Betere prijsstelling","Ja, vanwege het merk","Accessoires, Visspullen, Casual kleding"
Nee,31-40 jaar,Altijd,"Via sociale media, In een fysieke winkel","Stijl, Prijs, Duurzaamheid",€51-100,Shirts,"Webadvertenties, Vrienden en familie",Waarschijnlijk,"Betere prijsstelling, Meer duurzame materialen","Ja, vanwege de prijs","Accessoires, Buitenkleding"
Ja,31-40 jaar,Regelmatig,"In een fysieke winkel, Via een website","Merk, Prijs, Comfort",€26-50,Accessoires,"Reclamefolders, Sociale Media",Zeer waarschijnlijk,"Meer samenwerkingen met bekende merken/ontwerpers, Betere marketing op sociale media","Ja, vanwege het design","Casual kleding, Visspullen"
Nee,21-30 jaar,Altijd,Via een website,"Stijl, Comfort, Prijs",€51-100,Hoodies,"Sociale Media, Televisiereclame",Onwaarschijnlijk,"Meer moderne ontwerpen, Meer duurzame materialen","Ja, vanwege het design","Schoeisel, Casual kleding"
